country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
Canada,55.34,67.99
Germany *,39.77,52.01
"Iran, Islamic Rep.",80.04,101.03
Ireland *,34.0,45.21
Kazakhstan,139.01,175.24
Mainland China,1353.07,1624.09
Malaysia,106.23,129.8
Other,152.32999999999998,185.72
Russian Federation,173.03,210.21
United States,267.15999999999997,336.88
