country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
Mainland China,224.91,342.72
United States,156.44,205.78
Kazakhstan,70.61,93.63
Russian Federation,58.96,78.82
Other,50.68,68.75999999999999
Canada,36.75,46.15
"Iran, Islamic Rep.",28.11,39.81
Malaysia,28.77,39.21
Germany *,23.5,31.54
Ireland *,21.27,27.89
