country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
Mainland China,296.1,274.06
Other,25.25,23.39
Russian Federation,24.27,22.47
United States,20.09,18.599999999999998
Malaysia,14.09,13.07
"Iran, Islamic Rep.",7.82,7.27
Kazakhstan,6.68,6.2
Canada,3.6100000000000003,3.32
Germany *,2.0700000000000003,1.9
Ireland *,0.0,0.0
